iter	RMSE
0	1.032771219
1	1.027099717
2	1.021953836
3	1.016423223
4	1.011946486
5	1.006890515
6	1.001598727
7	0.9965899951
8	0.9935745748
9	0.9888997128
10	0.9835032335
11	0.978686242
12	0.973107386
13	0.9686721431
14	0.9653944168
15	0.9616707195
16	0.9561496807
17	0.9508270431
18	0.9458573295
19	0.9424312827
20	0.9387479689
21	0.9353058597
22	0.9307359191
23	0.9259191608
24	0.9222255038
25	0.9177442158
26	0.9139024546
27	0.9104547284
28	0.9056935486
29	0.901365073
30	0.8978058854
31	0.8932311212
32	0.8895709331
33	0.8859290179
34	0.8817393343
35	0.8782113848
36	0.8740309008
37	0.8690102755
38	0.8639868667
39	0.8587714551
40	0.8545054829
41	0.8496280399
42	0.8454548435
43	0.8404940551
44	0.8372797081
45	0.8329051464
46	0.8286715905
47	0.8250604476
48	0.8210414753
49	0.8175292123
50	0.8136162733
51	0.8091826121
52	0.8070205885
53	0.8029952799
54	0.7993453462
55	0.7954936124
56	0.7917761135
57	0.7876862098
58	0.7841112545
59	0.7795111256
60	0.7758013613
61	0.7723284892
62	0.7691117823
63	0.7654189958
64	0.7626232509
65	0.7592101577
66	0.7555484081
67	0.752263657
68	0.7478576786
69	0.7442741366
70	0.7405940478
71	0.7371705148
72	0.7338083712
73	0.7300429039
74	0.7268712718
75	0.7231127886
76	0.7212684243
77	0.7188256697
78	0.7154089999
79	0.7118260731
80	0.7080115487
81	0.704314542
82	0.7009964061
83	0.696990268
84	0.694069928
85	0.6900220075
86	0.6870995337
87	0.6840296913
88	0.6809693021
89	0.6785099094
90	0.676101408
91	0.6728824286
92	0.6701159561
93	0.6665891718
94	0.6628111044
95	0.6604674227
96	0.6575044923
97	0.6544518452
98	0.6519877994
99	0.6482989807
100	0.6450248783
101	0.6422394961
102	0.6396821828
103	0.6364187882
104	0.6331214745
105	0.6313310081
106	0.6288245025
107	0.6258887388
108	0.6232468425
109	0.6205490644
110	0.6181007231
111	0.6154220884
112	0.6127037639
113	0.6093390524
114	0.60587852
115	0.6024434586
116	0.6003361242
117	0.5972907833
118	0.5940994851
119	0.591545007
120	0.5898324238
121	0.5871132577
122	0.5846624092
123	0.5817492365
124	0.5797909162
125	0.5766372639
126	0.574444866
127	0.5716232066
